"","életkor","nem","iskola","város","fagyi","omlett","krémes","bor","meggyszörp","tonic","kóla","vérnarancslé","citromlé"
"311",46,"nõ","egyetem","Érd",-3,5,-1,8.6,2,7,3,-2,9.6
"312",20,"nõ","egyetem","Kalocsa",4,4,2,5,2,5,6,1,6
"313",35,"férfi","középiskola","Kiskungyarmat",10,5,10,12.5,4,3,4,5,10.5
"314",53,"nõ","általános iskola","Érd",1,-1,-2,7.3,1,9,-2,0,11.3
"315",50,"nõ","egyetem","Kalocsa",5,6,6,10,1,6,3,4,7
"316",37,"férfi","középiskola","Kalocsa",2,10,2,6.7,4,6,6,5,8.7
"317",54,"férfi","általános iskola","Érd",0,3,2,11.4,2,5,1,-1,9.4
"318",50,"nõ","egyetem","Kalocsa",5,7,1,11,2,1,3,1,9
"319",49,"férfi","általános iskola","Érd",-2,2,2,11.9,0,8,3,0,13.9
"320",53,"nõ","középiskola","Kiskungyarmat",6,9,6,10.3,4,2,5,5,9.3
"321",36,"nõ","egyetem","Kalocsa",2,1,1,10.6,4,3,5,3,10.6
"322",44,"férfi","általános iskola","Érd",-3,-1,-2,10.4,0,6,1,-2,11.4
"323",51,"férfi","egyetem","Érd",0,4,-3,10.1,0,6,2,-2,6.1
"324",29,"férfi","középiskola","Kiskungyarmat",10,5,9,9.9,6,2,7,6,7.9
"325",43,"nõ","középiskola","Kiskungyarmat",7,9,5,11.3,4,-1,9,4,9.3
"326",39,"nõ","általános iskola","Érd",-1,-3,-2,9.9,-2,8,2,2,8.9
"327",29,"férfi","egyetem","Érd",-1,3,-1,4.9,-2,6,-2,-2,6.9
"328",27,"nõ","egyetem","Kalocsa",6,1,4,6.7,5,4,6,3,8.7
"329",49,"férfi","egyetem","Kiskungyarmat",5,2,5,10.9,7,-2,8,4,11.9
"330",50,"férfi","általános iskola","Érd",-1,3,2,8,-1,4,2,0,11
"331",44,"nõ","általános iskola","Kalocsa",4,2,3,10.4,2,2,5,3,10.4
"332",33,"nõ","általános iskola","Kalocsa",3,3,3,10.3,3,5,5,3,8.3
"333",49,"férfi","általános iskola","Érd",-3,3,-1,6.9,0,4,-2,2,9.9
"334",28,"férfi","általános iskola","Érd",0,3,1,8.8,2,4,0,-1,7.8
"335",53,"férfi","középiskola","Kiskungyarmat",7,6,6,14.3,5,3,7,9,11.3
"336",23,"férfi","középiskola","Kiskungyarmat",7,10,8,8.3,9,-1,8,5,11.3
"337",55,"férfi","egyetem","Kiskungyarmat",10,2,6,10.5,6,0,4,4,10.5
"338",45,"nõ","egyetem","Kiskungyarmat",9,5,7,8.5,5,0,4,4,10.5
"339",44,"nõ","középiskola","Kiskungyarmat",8,9,7,8.4,7,-2,8,8,6.4
"340",39,"nõ","általános iskola","Kalocsa",4,-2,5,8.9,5,6,6,1,14.9
"341",54,"férfi","egyetem","Kalocsa",2,4,3,11.4,4,6,1,3,13.4
"342",44,"nõ","egyetem","Kiskungyarmat",5,7,7,9.4,7,1,9,5,12.4
"343",17,"nõ","középiskola","Kiskungyarmat",5,7,5,6.7,6,2,7,5,8.7
"344",20,"nõ","egyetem","Érd",-2,2,0,7,1,5,1,-2,5
"345",39,"férfi","középiskola","Kiskungyarmat",9,9,6,8.9,9,-2,8,7,9.9
"346",37,"nõ","középiskola","Kiskungyarmat",7,8,5,7.7,6,0,9,7,11.7
"347",46,"férfi","egyetem","Érd",-1,7,-1,11.6,-2,4,-2,3,9.6
"348",40,"nõ","középiskola","Kiskungyarmat",8,6,7,9,6,3,8,5,13
"349",48,"nõ","középiskola","Kalocsa",6,5,6,10.8,3,1,4,1,9.8
"350",16,"nõ","egyetem","Kiskungyarmat",9,1,7,5.6,5,3,6,5,8.6
"351",44,"nõ","középiskola","Kiskungyarmat",9,10,10,8.4,8,-1,5,6,8.4
"352",24,"nõ","általános iskola","Kalocsa",1,3,4,7.4,3,4,1,2,9.4
"353",41,"nõ","általános iskola","Kalocsa",3,1,4,9.1,1,3,6,1,13.1
"354",27,"férfi","középiskola","Kiskungyarmat",10,6,9,4.7,4,0,7,4,7.7
"355",32,"nõ","középiskola","Kalocsa",1,6,5,7.2,4,5,1,6,10.2
"356",27,"férfi","egyetem","Kiskungyarmat",7,1,10,8.7,5,2,8,6,7.7
"357",29,"férfi","középiskola","Kiskungyarmat",7,10,6,2.9,8,3,5,5,6.9
"358",31,"nõ","egyetem","Kalocsa",2,5,5,9.1,4,6,3,1,10.1
"359",55,"férfi","középiskola","Kiskungyarmat",9,11,7,12.5,8,2,6,4,12.5
"360",39,"nõ","általános iskola","Érd",-3,2,1,11.9,-1,8,0,-2,11.9
"361",47,"férfi","egyetem","Kalocsa",5,4,3,6.7,5,1,3,6,8.7
"362",44,"nõ","egyetem","Érd",1,4,-2,6.4,-1,9,3,-1,8.4
"363",55,"férfi","középiskola","Kiskungyarmat",10,11,10,13.5,6,0,9,4,10.5
"364",50,"férfi","egyetem","Érd",2,7,-2,10,-2,4,2,3,7
"365",20,"férfi","egyetem","Érd",-2,6,1,10,1,4,2,-2,6
"366",46,"férfi","középiskola","Kalocsa",2,11,3,8.6,4,5,5,4,10.6
"367",31,"nõ","általános iskola","Kalocsa",1,3,5,12.1,3,2,4,2,7.1
"368",33,"nõ","egyetem","Érd",-2,4,-2,8.3,3,8,0,3,10.3
"369",38,"nõ","egyetem","Kalocsa",2,6,3,9.8,6,2,1,6,8.8
"370",34,"nõ","egyetem","Kiskungyarmat",8,3,6,9.4,7,2,9,9,3.4
"371",33,"nõ","általános iskola","Érd",-2,3,0,7.3,0,8,2,2,11.3
"372",21,"nõ","általános iskola","Kalocsa",4,2,3,6.1,3,6,1,3,8.1
"373",29,"nõ","egyetem","Érd",0,6,0,9.9,1,6,-2,2,7.9
"374",40,"férfi","általános iskola","Kalocsa",1,2,3,8,4,6,2,6,10
"375",40,"férfi","egyetem","Kalocsa",3,6,1,11,6,4,2,5,7
"376",44,"nõ","általános iskola","Érd",0,0,-3,11.4,1,6,0,-2,4.4
"377",55,"nõ","középiskola","Kalocsa",1,10,6,10.5,4,2,6,6,10.5
"378",51,"férfi","egyetem","Kiskungyarmat",10,2,7,9.1,6,-2,5,5,9.1
"379",27,"férfi","egyetem","Kiskungyarmat",5,7,6,11.7,9,-1,8,6,8.7
"380",37,"férfi","általános iskola","Érd",-3,-2,2,8.7,2,9,0,-1,10.7
"381",39,"férfi","egyetem","Kalocsa",5,3,5,9.9,1,1,3,3,4.9
"382",36,"nõ","egyetem","Kiskungyarmat",8,4,8,10.6,8,-1,7,8,12.6
"383",38,"férfi","középiskola","Kalocsa",4,7,4,9.8,1,4,5,4,8.8
"384",54,"férfi","középiskola","Kiskungyarmat",9,7,10,14.4,4,-1,4,7,11.4
"385",23,"férfi","általános iskola","Érd",2,-3,-2,8.3,-1,6,1,2,7.3
"386",51,"nõ","általános iskola","Kalocsa",6,-3,6,9.1,5,4,5,5,12.1
"387",25,"nõ","középiskola","Kiskungyarmat",6,5,5,7.5,7,-1,6,8,4.5
"388",45,"nõ","egyetem","Kalocsa",6,1,5,7.5,5,5,3,5,11.5
"389",34,"férfi","általános iskola","Kalocsa",3,2,6,7.4,5,1,2,1,10.4
"390",36,"nõ","általános iskola","Érd",2,-2,-3,8.6,1,8,-2,1,12.6
"391",45,"nõ","középiskola","Kiskungyarmat",10,11,7,12.5,6,3,7,6,11.5
"392",47,"nõ","középiskola","Kiskungyarmat",8,6,8,11.7,4,-2,9,4,12.7
"393",41,"férfi","egyetem","Érd",-2,6,-2,9.1,-1,7,2,-1,13.1
"394",16,"férfi","általános iskola","Kalocsa",4,3,1,7.6,2,1,1,3,4.6
"395",54,"nõ","középiskola","Kalocsa",4,5,5,12.4,1,4,3,6,10.4
"396",23,"férfi","középiskola","Kiskungyarmat",8,7,8,7.3,5,1,8,7,7.3
"397",52,"férfi","általános iskola","Kalocsa",1,0,1,10.2,5,4,1,3,11.2
"398",25,"férfi","általános iskola","Érd",1,2,0,7.5,0,5,-1,1,10.5
"399",48,"férfi","általános iskola","Kalocsa",2,-3,5,8.8,4,1,1,4,14.8
"400",30,"nõ","általános iskola","Kalocsa",1,-1,6,6,5,2,2,6,8
